sim_time rho L L_q W_q
1000.000000 0.990000 17.704576 16.779228 16.605879
10000.000000 0.990000 78.018324 77.029953 77.691294
100000.000000 0.990000 53.130418 52.147702 52.758719
1000000.000000 0.990000 96.145572 95.156093 96.147775
10000000.000000 0.990000 101.035634 100.045200 100.988746
100000000.000000 0.990000 96.237232 95.247289 96.195880
1000000000.000000 0.990000 98.696828 97.706846 98.692766
10000000000.000000 0.990000 98.677700 97.687711 98.675008
